move_pkid;move_id;year;month;departure;arrival;from_id;to_id;from_name;to_name;from_type;to_type;vessel_id;vessel_name;vessel_type;dwt;time
697577;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1697;2993;Bremerhaven;Hamburg;1;1;62022;Tokio Express;fully cellular containership;47733;0
141756;;1977;3;08/03/1977 00:00;08/03/1977 00:00;3917;4572;Boston(USA);New York;1;1;7210;Boston;fully cellular containership;9466;0
501960;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1165;115;Singapore;Port Klang;1;1;42465;Dragon Bangka;fully cellular containership;13321;0
702094;;1977;3;08/03/1977 00:00;08/03/1977 00:00;2993;1697;Hamburg;Bremerhaven;1;1;62337;Nanhai;fully cellular containership;39948;0
287705;;1977;3;08/03/1977 00:00;08/03/1977 00:00;4488;2213;Kodiak;Anchorage;1;1;21570;Galveston;fully cellular containership;9506;0
311471;;1977;3;08/03/1977 00:00;08/03/1977 00:00;1503;4700;Charleston;Jacksonville;1;1;23534;Eastern Kin;fully cellular containership;9246;0
176265;;1977;3;09/03/1977 00:00;09/03/1977 00:00;5048;4402;Dubai;Abu Dhabi;1;1;11633;Hui He;fully cellular containership;25007;0
96746;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2561;854;Hampton Roads;Baltimore;1;1;4202;Chicago Express;fully cellular containership;31830;0
702095;;1977;3;09/03/1977 00:00;09/03/1977 00:00;1697;830;Bremerhaven;Rotterdam;1;1;62337;Nanhai;fully cellular containership;39948;0
134677;;1977;3;09/03/1977 00:00;09/03/1977 00:00;830;2573;Rotterdam;Preston(GBR);1;1;6642;Feeder 4;fully cellular containership;4625;0
814825;;1977;3;09/03/1977 00:00;09/03/1977 00:00;843;830;Amsterdam;Rotterdam;1;1;76014;Li Cheng;fully cellular containership;4114;0
504350;;1977;3;09/03/1977 00:00;09/03/1977 00:00;5802;3832;Tokyo;Nagoya;1;1;42622;Kang;fully cellular containership;33287;0
63389;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2561;854;Hampton Roads;Baltimore;1;1;1652;Sheldon Lykes;fully cellular containership;15284;0
77782;;1977;3;09/03/1977 00:00;09/03/1977 00:00;4593;2151;Keelung;Kobe;1;1;2670;Ankara;fully cellular containership;37129;0
96193;;1977;3;09/03/1977 00:00;09/03/1977 00:00;3832;593;Nagoya;Shimizu;1;1;4152;Asia Maru;fully cellular containership;24131;0
68325;;1977;3;09/03/1977 00:00;09/03/1977 00:00;4593;3164;Keelung;Hong Kong;1;1;2101;Wing Sing;fully cellular containership;2905;0
541035;;1977;3;09/03/1977 00:00;09/03/1977 00:00;1452;5513;Pointe a Pitre;Dunkirk;1;1;45567;Kota Intan;fully cellular containership;33650;0
675138;;1977;3;09/03/1977 00:00;09/03/1977 00:00;1165;115;Singapore;Port Klang;1;1;60233;Supercon 2;fully cellular containership;5852;0
306540;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2442;3262;Shiogama;Muroran;1;1;23241;Bless Container;fully cellular containership;6766;0
47780;;1977;3;09/03/1977 00:00;09/03/1977 00:00;941;3592;Algeciras;Naples;1;1;416;Afoundria;fully cellular containership;6982;0
